" and the ","en de "
" of gyzs.","van GYZS."
"A good improvement could win a coupon of 5%.","Een goede verbetering maakt kans op een kortingsbon van 5%."
"Account Information","Account Gegevens"
"Activate","Activeer"
"Address","Straatnaam"
"Address %s of %s","Address %s of %s"
"Already have an account?","Heeft u al een account?"
"Already have an account? Then you can login here. Registered users have many advantages.","Heeft u al een account? Dan kunt u hier inloggen. Geregisteerde gebruikers hebben veel voordelen."
"Always up to date with the latest discount? Yes, sign me up for rebate ...","Altijd op de hoogte van de laatste korting? Ja, ik meld mij aan voor korting..."
"Any questions? our","Nog vragen? Onze"
"Any questions? our","Nog vragen? Onze"
"Are you new by GYZS?","Bent u nieuw by GYZS?"
"Back","Terug"
"Back Order","jouw bestelling"
"Business","Zakelijk"
"By placing this order creates a payment and you agree to the content the ","Door het plaatsen van deze bestelling ontstaat er een betalingsverplichting en ga je akkoord met de inhoud van de "
"Checkout without account","Afrekenen zonder account"
"City","Plaatsnaam"
"Company","Bedrijf"
"Company name","Bedrijfsnaam"
"Company name","Bedrijfsnaam"
"Company Type","Type bedrijf"
"Confirm Password","Bevestig wachtwoord"
"Confirmation","De bevestiging"
"Confirmation e-mail","Bevestiging per e-mail"
"Confirmation of your order","Bevestiging van jouw bestelling"
"Confirmation report","Bevestigingsoverzicht"
"Continue","Ga verder"
"Country","Land"
"couponcode...","Kortingscode..."
"Create an account","Account maken"
"Data","Jouw gegevens"
"Datum","Datum"
"Deliver","De bezorging"
"Delivery","Bezorging"
"Delivery Address","Bezorgadres"
"delivery address","Bezorgadres"
"Do you have a comment? add it here","Heb je een opmerking? Voeg deze hier toe"
"Do you have a comment? Add it here","Heb je een opmerking? Voeg deze hier toe"
"Do you have any comments?","Heb je nog opmerkingen?"
"Do you have discount code? add to it here","Heb je een kortingscode? Voeg deze hier toe"
"Email Address","E-mail"
"expect tonight","Verwacht vanavond"
"Fill in your details to proceed with your order. If you have questions you can always call on <span>0224 212 026 </span>GYZS.","Vul hier je gegevens in om verder te gaan met jouw bestelling. Als je vragen hebt kun je altijd even bellen met GYZS op <span>0224 212 026 </span>"
"Firstname","Voornaam"
"Forgot password?","Wachtwoord kwijt?"
"Forgot something? With GYZS can add up to a day in advance any articles to your backorder! We call super service.","Iets vergeten? Met GYZS kun je tot een dag van te voren nog artikelen toevoegen aan je backorder! Dat noemen we super service."
"Free","Gratis"
"general conditions","algemene voorwaarden"
"Grand Total","Totaal"
"Grand Total:","Totaal"
"How do you wish to receive your order ?","Hoe wil jij jouw bestelling ontvangen ?"
"I want to get everything at once","Ik wil alles in een keer laten bezorgen"
"I want to pick up my order","Ik wil mijn bestelling afhalen"
"I would like my order recieved, at a different address","Ik wil graag mijn bestelling op een ander adres ontvagen"
"Like no other, can we imagine that everything you want to receive as soon as possible. Therefore, you can choose here how and when you want to receive your order. The choice is yours!","Als geen ander kunnen wij voorstellen dat je alles zo snel mogelijk wilt ontvangen. Daarom kun je hier kiezen hoe en wanneer je jouw bestelling wilt ontvangen. Aan jou de keuze!"
"If we under green for stables everything you want as quickly as possible. Charge, so you could choose here how and when you want to receive your order. It's your choice!","Betalen gaat eenvoudig, snel en veilig. Kies een manier die je zelf prettig vindt en wij zorgen dat je bestelling zo snel mogelijk bezorgd wordt."
"In stock","jouw bestelling"
"is waiting for you!","staat voor je klaar!"
"Loading next step...","Laden volgende stap ..."
"Middlename","Tussenv."
"Mobile Number","Mobiel nummer"
"My Delivery","Mijn bezorging"
"Next step","Volgende stap"
"Opt for a new account to order next time even faster. Or order quickly and simply anonymous.","Kies voor een nieuw account om de volgende keer nog sneller te kunnen bestellen. Of bestel snel en eenvoudig anoniem."
"Order comment"," Bestellen commentaar"
"Order Comment","Om Comment"
"order completion","Bestelling afgerond"
"Order Success","Om Succes"
"Order successfully completed","Bestelling succesvol afgerond"
"Order Type","Type bestelling"
"Password","Wachtwoord"
"Pay","De betaalwijze"
"Payement Information","Payement Informatie"
"Payment Information and payment","Hoe wil jij jouw bestelling betalen?"
"Payment Method","Betalingsmethode"
"Payment method","Betaalwijze"
"Payment Method","Betaalwijze"
"Personal","Particulier"
"Place Order","Plaats bestelling"
"Please select","Selecteer alstublieft"
"Please select region, state or province","Selecteer regio, staat of provincie"
"Postcode + Housenumber","Postcode"
"privacy statement","privacy statement"
"Product Information","Productinformatie"
"Reference","Referentie"
"Register to create an account","Meld u aan om een account aan te maken"
"Review Order","Beoordeling Bestel"
"Satisfied with your order?","Tevreden over je bestelling?"
"Let everyone know!","Laat het iedereen weten!"
"Save in address book","Save in address book"
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Select an address","Selecteer een adres"
"send everything in immediate stock, the rest through like backorder","Stuur alles op voorraad direct, de rest graag via nalevering"
"Ship to different address","Ship to different address"
"Ship to this address","Ship to this address"
"Shipping backorder","Verzending backorder"
"Shipping Details","Shipping Details"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Shipping To","Shipping To"
"Shopping Cart","Winkelwagen"
"shopping cart","Winkelmand"
"Sign Up","Aanmelden"
"State/Province","State/Province"
"Submit","Verstuur"
"Subsequent deliveries","Nalevering"
"Success","Klaar"
"Surname","Achternaam"
"Tax","btw"
"Telephone","Telephone"
"Thank you for your order","Bedankt voor je bestelling"
"Thanks for your order with GYZS. Herewith some useful information for your records. We've captured with your order number","Bedankt voor je bestelling bij GYZS. Hierbij alvast wat handige informatie voor jouw administratie. We hebben je order vastgelegd met het nummer"
"the sequel","het vervolg"
"This is also the shipping address","Dit is ook het verzendadres"
"today at","Vandaag om"
"Total Item","Total Item"
"Update","Update"
"VAT Number","BTW Number"
"VAT Number","VAT Number"
"We also mail your order for your confirmation.","We hebben de bestelling ook per mail naar je bevestigd."
"we may ask you something?","mogen wij je wat vragen?"
"What could be better in your opinion?","Wat kan er volgens jou beter?"
"What did you really pleasant?","Wat vond je erg prettig?"
"You can view this always through My orders.","Je kunt deze altijd nog bekijken via Mijn bestellingen."
"You will receive the shippment date in your mail","Je ontvangt de dag van verzending een mail."
"You will receive the shippment date in your mail.","Je ontvangt de dag van verzending een mail."
"Your data are sent through a secure connection to GYZS.nl","Jouw gegevens worden met een beveiligde verbinding naar GYZS.nl verstuurd"
"Your data are sent using a secure connection to GYZS.nl","Jouw gegevens worden met een beveiligde verbinding naar GYZS.nl verstuurd"
"Your details will be sent with a secure connection to GYZS.nl","Jouw gegevens worden met een beveiligde verbinding naar GYZS.nl verstuurd"
"Your Order","jouw bestelling"
"You've placed a backorder when the order coming your way soon. The rest of the order you can expect tomorrow.","Je hebt bij de bestelling een backorder geplaatst die zo snel mogelijk jouw kant op komt. De rest van de order kun je morgen in huis verwachten."
"Order Type","Type bestelling"
"Salutation","Aanhef"
"Postcode","Postcode"
"Checkout create account","Een account aanmaken"
"Check with your account","Afrekenen met je account"
"Email Address....","Vul hier je e-mailadres in"
"Password...","Vul hier je wachtwoord in"
"Email Id already exists","Dit klanten e-mail adres bestaat al"
"Payment is not defined","Betaalwijze is niet gedefinieerd"
"Customer site ID must be specified when using the website scope","Klant website ID moet worden gespecificeerd bij het gebruik van de website scope"
"We have your e-mail address in order to continue processing your order","Wij hebben je e-mailadres nodig om je order verder te verwerken"
"Required fields","We willen je order graag snel verwerken. Wil je alsjeblieft de rood gemarkeerde velden nog even nakijken?"
"Invalid login or password.","Misschien kloppen je inloggegevens niet. Neem voor de zekerheid contact op met onze klantenservice."
"This is a required field for Login.","Wij hebben je e-mailadres nodig om je order verder te verwerken"
"Shippment Cost","Verzendkosten"
"Free Shippment Cost","Gratis verzending"
"Total Item","Bestelling"
"Delivery Type","Bezorging"
"Perhaps even more useful","Wellicht nog handig"
"And delivered free to your backorder!","en gratis bezorgd met jouw backorder!"
"Please enter a valid Login address.","Misschien kloppen je inloggegevens niet. Neem voor de zekerheid contact op met onze klantenservice"
"Choose an address","Kies een adres"
"VAT included","inclusief BTW"
"Grand Total including VAT","Alles bij elkaar inclusief BTW"
"I want to give everything in time","Ik wil alles in een keer laten bezorgen"
"approx. 3-4 days to be matched","Let op: 3-4 dagen langere levertijd"
"Enter your current password here","Vul hier je huidig wachtwoord in"
"Enter your new password here","Vul hier je nieuwe wachtwoord in"
"Confirm your new password here","Bevestig hier je nieuwe wachtwoord in"
"Change your number and press update","Wijzig je aantal en druk daarna op update"
"optional","optioneel"
"Grand Total Incl. btw","Totaal incl. btw"
"I choose to pay an extra %s to receive my order today","Ik wil voor %s extra mijn bestelling vandaag ontvangen"
"In <span>%s hours en %s minutes</span> this option will pass","Je hebt nog <span>%s uur en %s minuten </span>"
"Extra shipmentcost","Extra verzendkosten"
"Standard Shipping","Standaard verzending"
"In <span>%s minutes</span> this option will pass","Je hebt nog <span> %s minuten </span>"
"Password length should be 6 character.","Wachtwoordlengte moet 6 tekens zijn."
"Password should be match.","Wachtwoord moet overeenkomen."
"Checkout as","Snel afrekenen?"
"Calculate without account","Reken af zonder account"
"Create a new account","Maak een nieuw account aan"
"privacy statement","privacy verklaring"