"Luxesierbeslag","Luxesierbeslag-Titel","Sku","_type"
"\3.90","Bevestigingset langschilden ASL t.b.v. deurdikte 39-58mm voor draaigarnituren","1192204","dict"
"\3.90","Bevestigingset langschilden ASL t.b.v. deurdikte 59-78mm voor draaigarnituren","1192205","dict"
"\3.55","Bevestigingset rozetten ASL t.b.v. deurdikte 39-58mm voor wisselgarnituren","1192206","dict"
"\3.55","Bevestigingset rozetten ASL t.b.v. deurdikte 59-78mm voor wisselgarnituren","1192207","dict"
"\3.90","Bevestigingset kortschilden ASL t.b.v. deurdikte 39-58mm voor wisselgarnituren","1192208","dict"
"\3.90","Bevestigingset langschilden ASL t.b.v. deurdikte 39-58mm voor wisselgarnituren","1192210","dict"
"\3.90","Bevestigingset kortschilden ASL t.b.v. deurdikte 59-78mm voor wisselgarnituren","1192209","dict"
"\3.90","Bevestigingset langschilden ASL t.b.v. deurdikte 59-78mm voor wisselgarnituren","1192211","dict"
"\3.55","Bevestigingset rozetten ASL t.b.v. deurdikte 39-58mm voor toilet-/badkamergarnituren","1192212","dict"
"\3.55","Bevestigingset rozetten ASL t.b.v. deurdikte 59-78mm voor toilet-/badkamergarnituren","1192213","dict"
"\3.90","Bevestigingset kortschilden ASL t.b.v. deurdikte 39-58mm voor toilet-/badkamergarnituren","1192214","dict"
"\3.90","Bevestigingset kortschilden ASL t.b.v. deurdikte 59-78mm voor toilet-/badkamergarnituren","1192215","dict"
"\3.90","Bevestigingset langschilden ASL t.b.v. deurdikte 39-58mm voor toilet-/badkamergarnituren","1192216","dict"
"\3.90","Bevestigingset langschilden ASL t.b.v. deurdikte 59-78mm voor toilet-/badkamergarnituren","1192217","dict"
"18.25","Deurkruk gatdeel ASL aluminium F1 type 1023","1192218","dict"
"41.65","Deurkruk gatdeel ASL roestvaststaal type 1023","1192219","dict"
"16.26","Deurkruk gatdeel ASL aluminium F1 type 1075","1192220","dict"
"36.99","Deurkruk gatdeel ASL roestvaststaal type 1075","1192221","dict"
"20.27","Deurkruk gatdeel ASL aluminium F1 type 1076","1192222","dict"
"41.65","Deurkruk gatdeel ASL roestvaststaal type 1076","1192223","dict"
"15.48","Deurkruk gatdeel ASL aluminium F1 type 1080","1192224","dict"
"33.11","Deurkruk gatdeel ASL roestvaststaal type 1080","1192225","dict"
"87.28","Deurkrukgarnituurm/ronde rozet roestvaststaal ASL 1075 t.b.v. deurdikte 39-58mm","1192226","dict"
"96.23","Deurkrukgarnituurm/ronde rozet roestvaststaal ASL 1076 t.b.v. deurdikte 39-58mm","1192227","dict"
"82.73","Deurkrukgarnituurm/ronde rozet roestvaststaal ASL 1080 t.b.v. deurdikte 39-58mm","1192228","dict"
"26.77","Langschild rechthoekig ASL aluminium F1 blind","1192229","dict"
"30.29","Langschild rechthoekig ASL roestvaststaal blind","1192230","dict"
"25.52","Langschild rechthoekig ASL aluminium F1 PC72","1192231","dict"
"29.04","Langschild rechthoekig ASL roestvaststaal PC72","1192232","dict"
"29.04","Langschild rechthoekig ASL roestvaststaal PC55","1192234","dict"
"25.52","Langschild rechthoekig ASL aluminium F1 PC55","1192233","dict"
"25.52","Langschild rechthoekig ASL aluminium F1 SL56","1192235","dict"
"79.78","Langschildgarnituur rechthoekig ASL aluminium F1 WC8x72","1192236","dict"
"103.98","Langschildgarnituur rechthoekig ASL roestvaststaal WC8x72","1192237","dict"
"103.98","Langschildgarnituur rechthoekig ASL roestvaststaal WC8x63","1192239","dict"
"79.78","Langschildgarnituur rechthoekig ASL aluminium F1 WC8x63","1192238","dict"
"26.77","Langschild afgerond ASL aluminium F1 blind","1192240","dict"
"30.29","Langschild afgerond ASL roestvaststaal blind","1192241","dict"
"25.52","Langschild afgerond ASL aluminium F1 PC72","1192242","dict"
"29.04","Langschild afgerond ASL roestvaststaal PC72","1192243","dict"
"25.52","Langschild afgerond ASL aluminium F1 PC55","1192244","dict"
"29.04","Langschild afgerond ASL roestvaststaal PC55","1192245","dict"
"25.52","Langschild afgerond ASL aluminium F1 SL56","1192246","dict"
"79.78","Langschildgarnituur afgerond ASL aluminium F1 WC8x72","1192247","dict"
"103.98","Langschildgarnituur afgerond ASL roestvaststaal WC8x72","1192248","dict"
"79.78","Langschildgarnituur afgerond ASL aluminium F1 WC8x63","1192249","dict"
"103.98","Langschildgarnituur afgerond ASL roestvaststaal WC8x63","1192250","dict"
"24.93","Kortschild rechthoekig ASL roestvaststaal blind","1192252","dict"
"20.74","Kortschild rechthoekig ASL aluminium F1 PC72","1192253","dict"
"22.00","Kortschild rechthoekig ASL aluminium F1 blind","1192251","dict"
"23.69","Kortschild rechthoekig ASL roestvaststaal PC72","1192254","dict"
"20.74","Kortschild rechthoekig ASL aluminium F1 PC55","1192255","dict"
"23.69","Kortschild rechthoekig ASL roestvaststaal PC55","1192256","dict"
"20.74","Kortschild rechthoekig ASL aluminium F1 SL56","1192257","dict"
"69.25","Kortschildgarnituurrechthoekig ASL aluminium F1 WC8x72","1192258","dict"
"92.18","Kortschildgarnituur rechthoekig ASL roestvaststaal WC8x72","1192259","dict"
"69.25","Kortschildgarnituurrechthoekig ASL aluminium F1 WC8x63","1192260","dict"
"92.18","Kortschildgarnituur rechthoekig ASL roestvaststaal WC8x63","1192261","dict"
"22.00","Kortschild afgerond ASL aluminium F1 blind","1192262","dict"
"24.93","Kortschild afgerond ASL roestvaststaal blind","1192263","dict"
"20.74","Kortschild afgerond ASL aluminium F1 PC72","1192264","dict"
"23.69","Kortschild afgerond ASL roestvaststaal PC72","1192265","dict"
"20.74","Kortschild afgerond ASL aluminium F1 PC55","1192266","dict"
"23.69","Kortschild afgerond ASL roestvaststaal PC55","1192267","dict"
"20.74","Kortschild afgerond ASL aluminium F1 SL56","1192268","dict"
"69.25","Kortschildgarnituurafgerond ASL aluminium F1 WC8x72","1192269","dict"
"92.18","Kortschildgarnituur afgerond ASL roestvaststaal WC8x72","1192270","dict"
"69.25","Kortschildgarnituurafgerond ASL aluminium F1 WC8x63","1192271","dict"
"92.18","Kortschildgarnituur afgerond ASL roestvaststaal WC8x63","1192272","dict"
"18.36","Krukrozet vierkant ASL roestvaststaal","1192273","dict"
"78.41","Toilet-/badkamerrozet vierkant ASL roestvaststaal","1192275","dict"
"\6.00","Krukrozet rond ASL aluminium F1","1192276","dict"
"10.51","Krukrozet rond ASL roestvaststaal","1192277","dict"
"26.22","Toilet-/badkamerrozet rond ASL aluminium F1","1192280","dict"
"49.46","Toilet-/badkamerrozet rond ASL roestvaststaal","1192281","dict"
"35.42","Knopschild bolmodel afgerond ASL aluminium F1 blind","1192282","dict"
"72.20","Knopschild bolmodel afgerond ASL roestvaststaal blind","1192283","dict"
"36.02","Knopschild bolmodel afgerond ASL aluminium F1 PC72","1192284","dict"
"71.50","Knopschild bolmodel afgerond ASL roestvaststaal PC72","1192285","dict"
"30.21","Knopschild platmodel rechthoekig ASL aluminium F1 blind","1192286","dict"
"62.67","Knopschild platmodel rechthoekig ASL roestvaststaal blind","1192287","dict"
"30.87","Knopschild platmodel rechthoekig ASL aluminium F1 PC72","1192288","dict"
"61.99","Knopschild platmodel rechthoekig ASL roestvaststaal PC72","1192289","dict"
"32.90","Knopschild bolmodel afgerond ASL aluminium F1 blind","1192290","dict"
"66.96","Knopschild bolmodel afgerond ASL roestvaststaal PC72","1192293","dict"
"32.44","Knopschild bolmodel afgerond ASL aluminium F1 PC72","1192292","dict"
"67.64","Knopschild bolmodel afgerond ASL roestvaststaal blind","1192291","dict"
"33.84","Knopschild platmodel rechthoekig ASL aluminium F1 blind","1192294","dict"
"67.18","Knopschild platmodel rechthoekig ASL roestvaststaal blind","1192295","dict"
"34.12","Knopschild platmodel rechthoekig ASL aluminium F1 PC72","1192296","dict"
"66.53","Knopschild platmodel rechthoekig ASL roestvaststaal PC72","1192297","dict"
"55.36","Deurknop platmodel vast op rozet ASL roestvaststaal","1192301","dict"
"60.39","Deurknop bolmodel vast op rozet ASL roestvaststaal","1192299","dict"
"22.02","Deurknop platmodel vast op rozet ASL aluminium F1","1192300","dict"
"24.67","Deurknop bolmodel vast op rozet ASL aluminium F1","1192298","dict"
"21.01","Deurkrukhandvat voor bevestiging aan deurkrukken, te bedienen door middel van onderarmbediening","1192328","dict"
"33.76","Cilinderrozet vierkant ASL PC roestvaststaal","1192274","dict"
"\9.89","Cilinderozet rond ASL PC aluminium F1","1192278","dict"
"17.42","Cilinderozet rond ASL PC roestvaststaal","1192279","dict"
"16.84","Cil.rozet rond ASL PC rvs m.bevest.mat.39-58","1192305","dict"
"46.52","WC-rozet rond ASL PC rvs m.bevest.mat.39-58","1192306","dict"
"55.76","WC-rozet rond ASL not rvs m.bevest.mat.39-58","1192307","dict"
"20.84","Projectslot met magneetschoot dag- & nacht pc72, afgeronde voorplaat roestvaststaal afmeting 235x20x3mm, doornmaat=60mm, schoot is omkeerbaar","1226401","dict"
"19.47","Projectslot met magneetschoot loopfunctie, afgeronde voorplaat roestvaststaal afmeting 235x20x3mm, doornmaat=60mm, schoot is omkeerbaar","1226402","dict"
"20.85","Projectslot met magneetschoot vrij/bezet pc72, afgeronde voorplaat roestvaststaal afmeting 235x20x3mm, doornmaat=60mm, schoot is omkeerbaar","1226403","dict"
"\4.42","Sluitplaat tbv magneet projectslot dag- en nacht-/ wc-slot","1226407","dict"
"\3.75","Sluitplaat tbv magneet projectslot loop slot","1226408","dict"
"19.99","Projectslot dag- & nacht met driedelige zwengelschoot, PC72, CE, afgeronde voorplaat roestvaststaal afmeting 235x20x3mm, doornmaat=60mm, schoot is omkeerbaar","1226420","dict"
"18.05","Projectslot dag- & nacht PC72, CE, afgeronde voorplaat roestvaststaal afmeting 235x20x3mm, doornmaat=60mm, schoot is omkeerbaar","1226421","dict"
"18.59","Project loopslot met driedelige zwengelschoot, afgeronde voorplaat roestvaststaal afmeting 235x20x3mm, doornmaat=60mm, schoot is omkeerbaar","1226422","dict"
"17.16","Project loopslot, afgeronde voorplaat roestvaststaal afmeting 235x20x3mm, doornmaat=60mm, schoot is omkeerbaar","1226423","dict"
"17.13","Project kastslot met cilinder sparing, afgeronde voorplaat roestvaststaal afmeting 235x20x3mm, doornmaat=60mm, schoot is omkeerbaar","1226424","dict"
"19.96","Projectslot vrij- en bezet 8x72 met driedelige zwengelschoot, afgeronde voorplaat roestvaststaal afmeting 235x20x3mm, doornmaat=60mm, schoot is omkeerbaar","1226425","dict"
"18.80","Projectslot vrij- en bezet 8x72, afgeronde voorplaat roestvaststaal afmeting 235x20x3mm, doornmaat=60mm, schoot is omkeerbaar","1226426","dict"
"19.38","Rolschootslot PC72, afgeronde voorplaat roestvaststaal afmeting 235x20x3mm, doornmaat=60mm, schoot is omkeerbaar","1226427","dict"
"23.52","Project centraalslot, dagschoot zelfsluitend, afgeronde voorplaat roestvaststaal afmeting 235x20x3mm, doornmaat=60mm, schoot is omkeerbaar","1226428","dict"
"29.81","Project centraalslot met driedelige zwengelschoot, dagschoot zelfsluitend, din links, afgeronde voorplaat roestvaststaal afmeting 235x20x3mm, doornmaat=60mm","1226429","dict"
"29.81","Project centraalslot met driedelige zwengelschoot, dagschoot zelfsluitend, din rechts, afgeronde voorplaat roestvaststaal afmeting 235x20x3mm, doornmaat=60mm","1226430","dict"
"19.77","Project centraalslot, afgeronde voorplaat roestvaststaal afmeting 235x20x3mm, doornmaat=60mm, schoot is omkeerbaar","1226431","dict"
"\1.52","Sluitplaat roestvaststaal met lip zelfsluitende dagschoot din 118x40x1,5","1226457","dict"
"\3.24","Sluitplaat roestvaststaal afgerond met lip tbv project dag- & nacht/WC slot","1226458","dict"
"\1.94","Sluitplaat roestvaststaal afgerond met lip tbv project loopslot","1226459","dict"
"\2.32","Sluitplaat roestvaststaal afgerond tbv project kastslot","1226460","dict"
"11.54","Wc-rozet rond roestvaststaal voor deurdikte 37-42mm","1226513","dict"
"13.55","Deurspion ø14mm met afsluitklepje, zichthoek 180⁰, voor 90 minuten brandwerende deuren, deurdikte 35-58mm, massief staal verchroomd","1226801","dict"
"13.14","Deurspion ø14mm met afsluitklepje, zichthoek 200⁰, voor deurdikte 35-60mm, messing verchroomd","1226805","dict"
"13.90","Deurspion ø14mm met afsluitklepje, zichthoek 200⁰, voor deurdikte 35-60mm, kleur zwart","1226815","dict"
"10.85","Deurspion ø14mm met afsluitklepje, zichthoek 180⁰, voor 90 minuten brandwerende deuren, deurdikte 35-58mm, massief staal , roestvaststaal","1226821","dict"
"\8.18","Deurspion ø14mm met afsluitklepje, zichthoek 200⁰, voor deurdikte 35-60mm, roestvaststaal","1226825","dict"
"11.36","Raamkruk met stift 32mm voor draaivalbeslag, zwart, niet afsluitbaar","4953972","dict"
"19.37","Raamkruk afsluitbaar met stift 32mm voor draaivalbeslag, zwart, afsluitbaar, SKG","4953974","dict"
"18.34","Deurkruk, vast/draaibaar geveerd, L-model afgerond, roestvaststaal, op ronde rozet voor deurdikte 37-42mm EN1906-4","1226505","dict"
"18.34","Deurkruk, vast/draaibaar geveerd, L-model haaks, roestvaststaal, op ronde rozet voor deurdikte 37-42mm EN1906-4","1226506","dict"
"19.94","Deurkruk, vast/draaibaar geveerd, D-model, roestvaststaal, op ronde rozet voor deurdikte 37-42mm EN1906-4","1226507","dict"
"19.14","Deurkruk, vast/draaibaar geveerd, Curve model, roestvaststaal, op ronde rozet voor deurdikte 37-42mm EN1906-4","1226508","dict"
"28.16","Deurkruk, vast/draaibaar geveerd, Coupe model, roestvaststaal, op ronde rozet voor deurdikte 37-42mm EN1906-4","1226509","dict"
"\6.29","Cilinderrozet rond roestvaststaal voor deurdikte 37-42mm met cilindergatsparing","1226511","dict"
"\4.72","Afdekrozet rond roestvaststaal voor deurdikte 37-42mm ","1226514","dict"
"29.92","Deurkrukgarn.alum.L-model F1 afgerond blind","1226651","dict"
"29.92","Deurkrukgarn.alum.L-model F1 afgerond PC72","1226652","dict"
"29.92","Deurkrukgarn.alum.L-model F1 afgerond PC55","1226653","dict"
"40.21","Deurkrukgarn.alum.L-model F1 afger.WC 8x63 RS","1226656","dict"
"33.24","Knop-/krukgarn.alum.L-model F1 afger.PC72 RS","1226658","dict"
"33.24","Knop-/krukgarn.alum.L-model F1 afger.PC72 LS","1226659","dict"
"33.24","Knop-/krukgarn.alum.L-model F1 afger.PC55 RS","1226660","dict"
"33.24","Knop-/krukgarn.alum.L-model F1 afger.PC55 LS","1226661","dict"
"108.80","Geze deurdranger Ts3000V zwart zonder glijarm","1184003","dict"
"27.04","Geze glijarm zwart voor deurdranger Ts3000V","1184004","dict"
"\5.19","Eindstop Rollan 40/80 m.openhoudfunctie","1184769","dict"
"472.11","GEZE Deurdranger met vrijloop glijarm TS5000-EFS voor kopmontage","1184912","dict"
"193.87","Deurdranger zonder glijarm   ts5000.","1184917","dict"
"193.87","Deurdranger zonder glijarm  ts5000L.","1184924","dict"
"22.80","Mechanische openingsbegrenzer ts3000/5001","1184957","dict"
"33.01","Blokkeerinrichting ts3000/5001","1184959","dict"
"144.69","ActiveStop deurdemper voor opbouw montage, zilverkleur, voor houten deuren","1185038","dict"
"144.69","ActiveStop deurdemper voor opbouw montage, kleur wit, voor houten deuren","1185039","dict"
"144.69","ActiveStop deurdemper voor opbouw montage, roestvasstaal look, voor houten deuren","1185040","dict"
"144.69","ActiveStop deurdemper voor opbouw montage, zwart, voor houten deuren","1185041","dict"
"144.69","ActiveStop deurdemper voor opbouw montage, zilverkleur, voor glazen deuren","1185044","dict"
"144.69","ActiveStop deurdemper voor opbouw montage,kleur wit, voor glazen deuren","1185045","dict"
"144.69","ActiveStop deurdemper voor opbouw montage, roestvaststaal look, voor glazen deuren","1185046","dict"
"126.26","ActiveStop deurdemper voor inbouw montage, zilverkleur, voor houten deuren","1185049","dict"
"78.67","Draailager voor T-glijrail opbouw (exclusief glijrail)","1185053","dict"
"137.40","Geze ontvanger module WRM-24","1185297","dict"
"2109.20","Geze draaideurautomaat EMD-F glijarm trekkend","1185301","dict"
"2189.13","Geze aandrijfing slimdr. EMD-F knikarm duwend","1185302","dict"
"1167.81","Geze Laserscan beveiliging GC342 Kit zwart","1185303","dict"
"137.40","Geze ontvanger module WRM-24","1185306","dict"
"79.85","Geze RF zendmodule tbv inbouw WTM","1185307","dict"
"88.84","Geze RF handzender 2-kanaals WTH2","1185308","dict"
"50.11","Geze sleutelschakelaar opbouw SCT221","1185309","dict"
"50.11","Geze sleutelschakelaar inbouw SCT221","1185310","dict"
"53.92","Compleet schuifdeursysteem Geze Rollan 40 NT, totale lengte rail 1650mm, geschikt voor deuren van 500 t/m 840 mm","1185413","dict"
"56.83","Compleet schuifdeursysteem Geze Rollan 40 NT, totale lengte rail 1800mm, geschikt voor deuren van 500 t/m 920 mm","1185414","dict"
"60.17","Compleet schuifdeursysteem Geze Rollan 40 NT, totale lengte rail 1900mm, geschikt voor deuren van 500 t/m 970 mm","1185415","dict"
"66.54","Compleet schuifdeursysteem Geze Rollan 40 NT, totale lengte rail 2350mm, geschikt voor deuren van 500 t/m 1190 mm","1185416","dict"
"75.40","Compleet schuifdeursysteem Geze Rollan 40 NT, totale lengte rail 2800mm, geschikt voor deuren van 500 t/m 1420 mm","1185417","dict"
"72.89","Compleet schuifdeursysteem Geze Rollan 80 NT, totale lengte rail 1650mm, geschikt voor deuren van 500 t/m 840 mm","1185423","dict"
"77.28","Compleet schuifdeursysteem Geze Rollan 80 NT, totale lengte rail 1800mm, geschikt voor deuren van 500 t/m 920 mm","1185424","dict"
"78.75","Compleet schuifdeursysteem Geze Rollan 80 NT, totale lengte rail 1900mm, geschikt voor deuren van 500 t/m 970 mm","1185425","dict"
"87.43","Compleet schuifdeursysteem Geze Rollan 80 NT, totale lengte rail 2350mm, geschikt voor deuren van 500 t/m 1190 mm","1185426","dict"
"91.45","Compleet schuifdeursysteem Geze Rollan 80 NT, totale lengte rail 2800mm, geschikt voor deuren van 500 t/m 1420 mm","1185427","dict"
"100.91","Compleet schuifdeursysteem Geze Rollan 80 NT, totale lengte rail 3250mm, geschikt voor deuren van 500 t/m 1640 mm","1185428","dict"
"45.76","Softstop tbv Geze Rollan 80 NT tot 40kg","1185431","dict"
"17.35","Toebehorenset Rollan 40 NT voor plafondmontage","1185435","dict"
"25.42","Toebehorenset Rollan 40 NT voor wandmontage 500 - 1100 mm","1185437","dict"
"29.97","Toebehorenset Rollan 40 NT voor wandmontage 1100 - 1500 mm","1185438","dict"
"34.61","Toebehorenset Rollan 80 NT voor plafondmontage","1185442","dict"
"42.89","Toebehorenset Rollan 80 NT voor wandmontage 500 - 1100 mm","1185444","dict"
"47.46","Toebehorenset Rollan 80 NT voor wandmontage 1100 - 1500 mm","1185445","dict"
"19.87","Verstelbare ondergeleider voor glasdeuren van 8 t/m 12 mm","1185455","dict"
"112.24","Set glasklemplaten zilverkleur EV1 30mm, voor glazen deuren","1185453","dict"
"117.65","Drangerset Ts3000V+glijarm ts3000+mont.pl.","1184000","dict"
"238.02","Geze bewegingsradar GC 302 R","1185304","dict"
"\5.09","Hafele druksnapper kort","1169111","dict"
"\1.16","Hafele adapterplaat kort","1169112","dict"
"\1.16","Hafele adapterplaat lang","1169113","dict"
"\0.02","Afdekkap Minifix 12 PZ  wit","1414107","dict"
"\0.24","Hoekverbinder met kap donkerbruin","1414110","dict"
"\0.24","Hoekverbinder met kap wit","1414111","dict"
"\0.29","Hoekverbinder mini kap donkerbruin","1414112","dict"
"\0.30","Hoekverbinder mini met kap wit","1414113","dict"
"\0.97","Huisje Rafix SE vni 20/w/19m","1414117","dict"
"\0.15","Glasschapdrager verz./transp. 7/5mm","1414121","dict"
"\0.10","Plankdrager staal vernikkeld 5mm","1414122","dict"
"\0.06","Plankdrager staal verzinkt 5/5mm","1414123","dict"
"\3.36","Kastophanger vernikkeld links","1414125","dict"
"\7.32","Plankdrager met aanschroefplaat","1414124","dict"
"\3.36","Kastophanger vernikkeld rechts","1414126","dict"
"\1.04","Bevest.plaat kastophanger st vzi  110mm","1414127","dict"
"\6.09","Bedbeslag staal gechr. 100mm","1414120","dict"
"98.54","Postkast 2500 zwart/rvs","1852425","dict"
"200.71","Brievenbus System Grachtengroen. Een postkast voor vrijstaande of wandmontage.","1852431","dict"
"363.71","Postkast allux pc2 alu. ac","1852429","dict"
"61.71","Brievenbus Allux 100, wit voor wand- en vrijstaande montage.","E240001","dict"
"61.71","Brievenbus Allux 100, rood voor wand- en vrijstaande montage.","E240005","dict"
"74.67","Brievenbus Allux 200, verzinkt voor wand- en vrijstaande montage.","E240006","dict"
"74.67","Brievenbus Allux 200, wit voor wand- en vrijstaande montage.","E240007","dict"
"74.67","Brievenbus Allux 200, groen voor wand- en vrijstaande montage.","E240008","dict"
"74.67","Brievenbus Allux 200, zwart voor wand- en vrijstaande montage.","E240009","dict"
"74.67","Brievenbus Allux 200, blauw voor wand- en vrijstaande montage.","E240010","dict"
"74.67","Brievenbus Allux 200, rood voor wand- en vrijstaande montage.","E240011","dict"
"70.69","Brievenbus Allux LT150, verzinkt voor wand- en vrijstaande montage.","E240012","dict"
"73.68","Brievenbus Allux LT150, antraciet voor wand- en vrijstaande montage.","E240014","dict"
"73.68","Brievenbus Allux LT150, wit voor wand- en vrijstaande montage.","E240013","dict"
"73.68","Brievenbus Allux LT150, zwart voor wand- en vrijstaande montage.","E240015","dict"
"98.63","Brievenbus Allux 5000 Verzinkt","E240016","dict"
"124.87","Brievenbus Allux 5000 wit, een design brievenbus ","E240017","dict"
"124.87","Brievenbus Allux 5000 antraciet, een design brievenbus ","E240018","dict"
"124.87","Brievenbus Allux 5000 zwart, een design brievenbus ","E240019","dict"
"147.50","Brievenbus Allux LT200 wit, een ruime en solide brievenbus.","E240021","dict"
"147.50","Brievenbus Allux LT200 zwart, een ruime en solide brievenbus.","E240022","dict"
"323.01","Brievenbus Allux PC22, een aluminium, solide en ruime brievenbus.","E240023","dict"
"180.06","Brievenbus Allux 3000 Zwart/roestvaststaal","E240025","dict"
"171.01","Brievenbus KS200 verzinkt heeft een design voorkomen en solide bouw.","E240026","dict"
"189.12","Brievenbus KS200 wit heeft een design voorkomen en solide bouw.","E240027","dict"
"189.12","Brievenbus KS200 antraciet heeft een design voorkomen en solide bouw.","E240028","dict"
"189.12","Brievenbus KS200 zwart heeft een design voorkomen en solide bouw.","E240029","dict"
"320.31","Brievenbus Allux 800 verzinkt, grote postzuil met ruimte en inworp voor pakketten. Verkrijgbaar in 5 kleuren.","E240030","dict"
"326.64","Brievenbus Allux 800 wit, grote postzuil met ruimte en inworp voor pakketten. Verkrijgbaar in 5 kleuren.","E240031","dict"
"326.64","Brievenbus Allux 800 zwart, grote postzuil met ruimte en inworp voor pakketten. Verkrijgbaar in 5 kleuren.","E240033","dict"
"348.33","Brievenbus Allux 820 verzinkt, grote postzuil met ruimte en inworp voor pakketten. Verkrijgbaar in 5 kleuren.","E240040","dict"
"280.49","Brievenbus Allux Grundform zwart/wit, modern design, ruime brievenbus. Verkrijgbaar in 7 uitvoeringen.","E240046","dict"
"340.20","Brievenbus Allux Grundform zwart/rvs, modern design, ruime brievenbus. Verkrijgbaar in 7 uitvoeringen.","E240047","dict"
"280.49","Brievenbus Allux Grundform zwart/lichtgroen, modern design, ruime brievenbus. Verkrijgbaar in 7 uitvoeringen.","E240048","dict"
"279.58","Brievenbus Allux Grundform zwart, modern design, ruime brievenbus. Verkrijgbaar in 7 uitvoeringen.","E240049","dict"
"234.34","Brievenbus Allux Grundform zwart/lichtblauw, modern design, ruime brievenbus. Verkrijgbaar in 7 uitvoeringen.","E240050","dict"
"234.34","Brievenbus Allux Grundform zwart/oranje, modern design, ruime brievenbus. Verkrijgbaar in 7 uitvoeringen.","E240051","dict"
"348.35","Brievenbus Ellipse. Een modern en stijlvol design brievenbus. Uitvoering verzinkt.","E240052","dict"
"438.84","Brievenbus Ellipse. Een modern en stijlvol design brievenbus. Uitvoering roestvaststaal.","E240053","dict"
"560.06","Brievenbus Ellipse. Een modern en stijlvol design brievenbus. Uitvoering roodkoper.","E240054","dict"
"135.74","Brievenbus standaard Allux 1001 verzinkt.","E240055","dict"
"163.77","Brievenbus standaard Allux 1001 wit.","E240056","dict"
"194.53","Brievenbus standaard Allux 1001 zwart/rvs.","E240057","dict"
"163.77","Brievenbus standaard Allux 1001 zwart.","E240058","dict"
"91.57","Brievenbus standaard Allux 1005 verzinkt.","E240059","dict"
"99.51","Brievenbus standaard Allux 1005 wit.","E240060","dict"
"99.51","Brievenbus standaard Allux 1005 zwart.","E240061","dict"
"95.01","Post opvangkast Wit","E240063","dict"
"95.01","Post opvangkast Groen","E240064","dict"
"95.01","Post opvangkast Zwart","E240065","dict"
"63.71","Brievenbus standaard Allux 1003 verzinkt.","E240066","dict"
"66.66","Brievenbus standaard Allux 1003 wit.","E240067","dict"
"66.66","Brievenbus standaard Allux 1003 zwart.","E240068","dict"
"236.16","pakket/postkast 600 verzinkt","E240069","dict"
"246.10","pakket/postkast 600 zwart","E240070","dict"
"219.87","brievenbus 7000 geg.","E240071","dict"
"239.77","brievenbus 7000 geg./zwart","E240072","dict"
"239.77","brievenbus 7000 wit","E240073","dict"
"460.55","brievenbus 7000 koper","E240074","dict"
